"filename","_col1"
"20230816_01_408.zip-381548H0.807","2700"
"20230815_19_408.zip-381586H0.805","1213"
"20230812_13_408.zip-381247H0.814","2440"
"20230820_13_408.zip-382014H0.809","17"
"20230820_17_408.zip-382016H0.805","20"
"20230818_11_408.zip-381868H0.807","60"
"20230819_14_408.zip-381907H0.811","44"
"20230820_13_408.zip-382081H0.815","22"
"20230821_11_408.zip-382190H0.813","12"
"20230823_10_408.zip-382352H0.811","39"
"20230823_10_408.zip-382310H0.808","7"
"20230823_13_408.zip-382312H0.802","5"
"20230813_16_408.zip-381355H0.804","1972"
"20230821_21_408.zip-382137H0.809","13"
"20230810_23_408.zip-381085H0.812","675"
"20230823_18_408.zip-382352H0.805","16"
"20230810_23_408.zip-381046H0.808","331"
"20230823_12_408.zip-382387H0.812","15"
"20230823_12_408.zip-382367H0.814","8"
"20230822_19_408.zip-382205H0.815","6"
"20230822_07_408.zip-382204H0.813","12"
"20230823_14_408.zip-382324H0.807","38"
"20230812_12_408.zip-381224H0.815","1552"
"20230824_07_408.zip-382422H0.813","10"
"20230811_21_408.zip-381170H0.809","2356"
"20230810_08_408.zip-381050H0.809","758"
"20230810_04_408.zip-381009H0.801","659"
"20230811_23_408.zip-381133H0.811","1095"
"20230811_12_408.zip-381198H0.807","1536"
"20230824_08_408.zip-382417H0.808","7"
"20230811_10_408.zip-381121H0.811","694"
"20230821_18_408.zip-382102H0.807","38"
"20230811_21_408.zip-381100H0.807","1978"
"20230816_08_408.zip-381656H0.815","5218"
"20230812_22_408.zip-381277H0.805","1853"
"20230816_12_408.zip-381660H0.815","2420"
"20230813_21_408.zip-381311H0.812","661"
"20230814_22_408.zip-381483H0.805","2264"
"20230817_17_408.zip-381780H0.811","1108"
"20230817_21_408.zip-381788H0.808","5682"
"20230812_12_408.zip-381238H0.804","591"
"20230816_14_408.zip-381690H0.809","1054"
"20230819_20_408.zip-381973H0.812","37"
"20230816_16_408.zip-381603H0.804","2031"
"20230815_15_408.zip-381532H0.812","533"
"20230817_01_408.zip-381675H0.808","3029"
"20230817_16_408.zip-381772H0.801","853"
"20230816_18_408.zip-381670H0.808","904"
"20230819_19_408.zip-381973H0.813","14"
"20230821_04_408.zip-382141H0.814","10"
"20230820_17_408.zip-382025H0.811","42"
"20230821_08_408.zip-382139H0.816","41"
"20230819_02_408.zip-381809H0.814","12"
"20230823_10_408.zip-382386H0.812","17"
"20230822_07_408.zip-382205H0.813","12"
"20230811_16_408.zip-381167H0.809","1232"
"20230811_18_408.zip-381129H0.813","1009"
"20230824_06_408.zip-382462H0.805","16"
"20230811_10_408.zip-381197H0.807","1468"
"20230810_07_408.zip-381072H0.812","402"
"20230810_10_408.zip-381082H0.815","588"
"20230814_16_408.zip-381440H0.801","181"
"20230817_08_408.zip-381781H0.808","498"
"20230812_06_408.zip-381269H0.805","889"
"20230816_06_408.zip-381664H0.808","3957"
"20230814_18_408.zip-381465H0.814","1248"
"20230816_14_408.zip-381602H0.804","1292"
"20230815_06_408.zip-381581H0.804","2430"
"20230813_01_408.zip-381248H0.804","1487"
"20230816_13_408.zip-381667H0.808","1045"
"20230817_08_408.zip-381769H0.815","917"
"20230813_23_408.zip-381358H0.814","1331"
"20230815_20_408.zip-381517H0.806","3695"
"20230814_08_408.zip-381459H0.814","4041"
"20230815_14_408.zip-381559H0.811","926"
"20230812_07_408.zip-381220H0.801","1802"
"20230818_08_408.zip-381805H0.814","99"
"20230816_23_408.zip-381611H0.804","318"
"20230819_02_408.zip-381808H0.814","14"
"20230820_15_408.zip-382017H0.809","15"
"20230822_01_408.zip-382195H0.815","9"
